iter	Logloss
0	0.6819660682
1	0.6722151112
2	0.6611168634
3	0.6503767632
4	0.641801647
5	0.6291565051
6	0.6212910675
7	0.6124490006
8	0.6032982649
9	0.5955606145
10	0.5867358221
11	0.5797711272
12	0.5724675278
13	0.5639836413
14	0.5581619379
15	0.5499462791
16	0.5421316896
17	0.5357168475
18	0.5286499156
19	0.5224840718
20	0.5152675637
21	0.5099228286
22	0.5034351049
23	0.4977828151
24	0.4920514324
25	0.4866301499
26	0.481679788
27	0.476438323
28	0.4712791339
29	0.4667657814
30	0.4620277454
31	0.4560132398
32	0.4513294265
33	0.447213983
34	0.442633323
35	0.4383706222
36	0.433623365
37	0.4296113944
38	0.4260574743
39	0.4227118608
40	0.4189820046
41	0.4149715433
42	0.4116280151
43	0.4080245057
44	0.4045382308
45	0.4020812877
46	0.3994038311
47	0.3962556423
48	0.3929369663
49	0.3900651667
50	0.3871793333
51	0.384797848
52	0.3810093322
53	0.3778284668
54	0.3759860078
55	0.3738545309
56	0.3719883499
57	0.3693655523
58	0.3667915269
59	0.363951758
60	0.3621851637
61	0.3595133183
62	0.3576946935
63	0.3552337385
64	0.3532714405
65	0.3513763733
66	0.3496063525
67	0.3475637034
68	0.3456840258
69	0.3435056946
70	0.34159883
71	0.3393541798
72	0.3376637995
73	0.3359486209
74	0.3341282054
75	0.3319421825
76	0.3306328948
77	0.3288882855
78	0.3273199681
79	0.325780522
80	0.3242291564
81	0.3225386699
82	0.3208829219
83	0.3194795682
84	0.3184729068
85	0.3171991021
86	0.3159959429
87	0.313888064
88	0.3119967909
89	0.310844191
90	0.3091685161
91	0.3076354027
92	0.3059766087
93	0.3049653955
94	0.3036831009
95	0.3026826121
96	0.3012512543
97	0.3000306824
98	0.2992010698
99	0.298058911
100	0.2963507961
101	0.2949263545
102	0.2937299781
103	0.2925123454
104	0.2912965167
105	0.2899816196
106	0.2885279396
107	0.2872774993
108	0.2862850466
109	0.2851632384
110	0.2840186784
111	0.2832178183
112	0.2820768758
113	0.280535524
114	0.2794394531
115	0.278398003
116	0.2773155888
117	0.2761945482
118	0.2753458742
119	0.274528307
120	0.2737061176
121	0.2725957793
122	0.2718400029
123	0.2705341885
124	0.2697835509
125	0.2690845794
126	0.2682040104
127	0.2669063642
128	0.2660209326
129	0.2653815268
130	0.2643179744
131	0.2633515312
132	0.2626488789
133	0.2613412085
134	0.2603747614
135	0.2594583226
136	0.2587508952
137	0.2579206191
138	0.2567517016
139	0.2560113433
140	0.2552523383
141	0.2543129916
142	0.2533897741
143	0.2526368395
144	0.2518997608
145	0.2511089532
146	0.2502982639
147	0.2496750844
148	0.2488407308
149	0.248200704
150	0.2476225567
151	0.2468448515
152	0.2461247769
