Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
541,,Cc1cc2c(cc(O)c1=O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3,0,1.63,0,42.546402,0,8.327666,17.501356404622396,0,In
557,,C=CC(C)(C)[C@@]12C=C(OC)C(=O)N3[C@@H](C)C(=O)N[C@]31N(OC)c1ccccc12,0,0.61,1,50.886917,0,49.75466,33.75052622477214,1,In
565,,C=CC(=O)N1CCC[C@@H](n2ncc3c(N)ncnc32)C1,1,82.53,1,80.10086,0,49.403996,70.67828409830729,2,In
566,,CCC(=O)N1CCC[C@@H](n2nc(-c3cccc(F)c3)c3c(N)ncnc32)C1,1,98.47,1,89.78798,1,82.80468,90.35421712239584,3,In
578,4.64,NC1CCc2nc(-c3ccncc3)nc(Nc3ccc(F)cc3)c2C1,0,1.71,0,36.350212,0,4.5016675,14.187293039957682,0,In
586,4.82,COc1ccc(N2/C(=N/c3ccc(C(F)(F)F)cc3)SCC2(O)C(F)(F)F)cc1,0,16.7,0,48.394157,0,3.8713331,22.98849716186524,0,In
615,,O=C1CSC(c2ccccc2)N1c1ccc(F)cc1,0,47.29,1,93.44834,1,59.781002,66.83977986653646,2,In
646,,C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0,47.01,0,49.730186,0,25.230997,40.657060546875,0,Out
656,,O=C1NC2(CCCCCC2)C2CCCCCCC12O,0,26.27,1,64.83581,0,22.548002,37.8846039835612,1,In
659,,COc1cc2c3c(cc(Cl)nc3c1OC)C(O)(CC(C)=O)C(=O)N2,0,5.48,1,89.27228,0,24.578665,39.77698150634766,1,In
692,,OCc1c2c(cc3c1CC1(C3)Cc3cc4c(c(CO)c3C1)CCC4)CCC2,1,87.91,1,81.8687,1,60.042,76.60690185546875,3,In
697,,COc1ccc(C2OC(c3ccncc3)=NN2C)cc1OC,1,73.85,0,37.0096,0,37.915333,49.59164479573568,1,In
698,,COC(=O)c1c2c(cc3c1CC1(Cc4cc5c(c(C)c4C1)CCC5)C3)CCC2,0,4.28,1,81.8687,0,43.969994,43.37289723714193,1,In
713,,COc1ccc(/C=C2\CCC(CNc3ccc(S(N)(=O)=O)cc3)C2=O)cc1,0,1.15,0,24.961466,0,4.7223334,10.277933247884114,0,In
718,,COc1ccc2c(c1)C(=O)C1CC(=O)CCC21,0,17.64,0,47.08849,1,56.70033,40.47627278645833,1,In
