,Canonical,Molecule ChEMBL ID,pChEMBL Value,pChEMBL Value.1,logp,mw,tpsa,n_hba,n_hbd,ro5,pfizer_rule_passed,gsk_rule_passed,goldentriangle_rule_passed,qed,sascore,sascore.1,mce18,npscore,qed_passed,sascore_passed,fsp3_passed,mce18_passed,pains_Disposed,pains_MatchedAtoms,pains_MatchedNames,alarmnmr_Disposed,alarmnmr_MatchedAtoms,alarmnmr_MatchedNames,bms_Disposed,bms_MatchedAtoms,bms_MatchedNames,chelator_Disposed,chelator_MatchedAtoms,chelator_MatchedNames
92235,COc1ccccc1N1C(=O)CSC1c1ccccc1Br,CHEMBL3261551,4.5,4.5,4.236300000000003,362.992861788,29.54,3,0,5,False,False,True,0.8161966707911688,2.613304383659221,0.1875,51.368421052631575,-0.8533341685768092,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((9, 11, 12, 13, 8),), ((12, 11, 9, 10),), ((19, 20),), ((1, 2, 3, 4, 5, 6, 7),), ((11, 12, 13),)]","['C1CSCN1', 'SCC=O', 'c1ccccc1I', 'c1ccccc1O', 'CSC']",Accepted,['-'],['-'],Accepted,['-'],['-']
92238,COC(=O)c1ccc2c(c1)C(NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2,CHEMBL52480,,,3.289400000000001,399.16818752,83.09,6,1,5,True,True,True,0.777162582506603,2.8265670309021225,0.3636363636363636,64.0,0.4968707311510344,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92244,c1ccc(CN2CCCCC(Sc3ccccc3)CC2)cc1,CHEMBL1972343,,,5.223500000000005,311.1707708,3.24,2,0,4,False,False,False,0.7609680406517422,2.2630634910431766,0.4,45.5,-1.2487510285698002,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((10, 11, 12),)]",['CSC'],Accepted,['-'],['-'],Accepted,['-'],['-']
92251,CC(=O)C1=C(C)OC(C)(C)[C@H]2COc3ccc4c(=O)c(C)c(C)oc4c3[C@@H]12,CHEMBL3218558,,,4.173840000000004,368.162373868,65.74000000000001,5,0,5,False,False,True,0.7556124213416977,3.939829574800757,0.4545454545454545,87.75,1.0264094147172114,True,True,True,True,Accepted,['-'],['-'],Rejected,"[((4, 3, 1, 2, 0),), ((12, 13, 25, 24, 23, 21, 19, 17, 16, 15, 14),)]","['C=CC(=O)C', 'Oc1cc2ccccc2cc1']",Accepted,['-'],['-'],Accepted,['-'],['-']
92269,N[C@H]1CC[C@H](Nc2nc(NCC3CC3)c3ncn(C4CCCC4)c3n2)CC1,CHEMBL356034,5.8,5.8,3.445100000000001,369.264093992,93.68,7,3,5,True,True,True,0.7220145287421543,2.689693050445616,0.75,67.19999999999999,-0.7949388058373147,True,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92285,COC(=O)[C@H]1C[C@@H](C(=O)OC)[C@H]2ON=C(c3ccc(C#N)cc3)[C@H]21,CHEMBL3741587,,,1.25948,328.10592161200003,97.98000000000002,7,0,5,True,True,True,0.7747879768728697,3.863151547077549,0.4117647058823529,61.5,-0.2804383297959833,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92290,N#Cc1ccc(C2=NO[C@H]3[C@@H]2[C@@H](C(=O)O)C[C@H]3C(=O)O)cc1,CHEMBL3739870,,,1.08268,300.074621484,119.98,5,2,5,True,True,True,0.8614920596448441,3.830771862559958,0.3333333333333333,63.0,-0.3926098996733138,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92291,O=C(O)[C@H]1C[C@@H](C(=O)O)[C@H]2ON=C(c3ccc4ccccc4c3)[C@H]21,CHEMBL3740064,,,2.3642000000000003,325.09502258000003,96.19,4,2,5,True,True,True,0.9028761105932775,3.650282674247131,0.2777777777777778,75.56521739130434,0.0278266121309,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92294,C=CN1C(=O)O[C@H](c2ccccc2)[C@@H]1c1ccccc1,CHEMBL2374501,,,4.064700000000003,265.11027872,29.540000000000003,2,0,5,False,False,True,0.8369998743112245,3.043230370891872,0.1176470588235294,48.1578947368421,0.2840606257793,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((5, 3, 4),)]",['O=C1CCCCO1'],Accepted,['-'],['-'],Accepted,['-'],['-']
92317,c1ccc2c(c1)[C@@H]1O[C@@H]1[C@@]13O[C@@]21[C@H]1O[C@H]1c1ccccc13,CHEMBL1985470,,,2.714600000000001,276.078644244,37.59,3,0,5,True,True,True,0.694286534675718,4.5647551923200425,0.3333333333333333,122.5,0.7728778692774715,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((8, 7, 6, 4), (9, 10, 11, 3), (11, 10, 9, 20), (12, 13, 14, 15))]",['activated_S#O_3_ring'],Accepted,['-'],['-']
