F1_record,AP_record
0.8641975308641974,0.8636668102838152
0.904109589041096,0.9360893897691801
0.88,0.9345115186142795
0.9610389610389611,0.984328644968434
0.9268292682926829,0.964950368930404
0.8205128205128205,0.8977820110324161
0.9249999999999999,0.9821093455202768
0.8354430379746836,0.9324477977926708
0.875,0.9263480907509702
0.9268292682926831,0.9803140189301698
0.875,0.9192693328343217
0.8831168831168831,0.9103315676496112
0.9135802469135803,0.9021228591329197
0.9066666666666667,0.9623075905069408
0.8831168831168831,0.9539217000137721
0.8311688311688312,0.9295496139307277
0.878048780487805,0.9475073827465317
0.8860759493670887,0.9209732962986955
0.9620253164556962,0.9857060039673943
0.8648648648648648,0.9591100579477307
0.9333333333333332,0.9683449700912705
0.8974358974358975,0.9398143954442468
0.8918918918918918,0.958293426761698
0.8974358974358975,0.9594237708495436
0.8860759493670887,0.9389698854471306
0.8,0.8650608358068177
0.9249999999999999,0.967772791870025
0.9249999999999999,0.9361276848586745
0.875,0.9429150545798576
0.8205128205128205,0.8964746798039247
