F1_record,AP_record
0.7160493827160495,0.7649440279441699
0.8571428571428572,0.9614706011350871
0.7246376811594202,0.815357763413304
0.7733333333333334,0.8920075288281464
0.8311688311688312,0.9094931657480138
0.7567567567567567,0.875172606585957
0.8,0.8963523649106722
0.7692307692307693,0.8842153061298521
0.7948717948717948,0.8962467282550782
0.8250000000000001,0.859641979547952
0.8157894736842105,0.8942511208511466
0.7764705882352942,0.9114095794008273
0.7837837837837838,0.9027189614197216
0.8192771084337349,0.8657766380481611
0.7222222222222222,0.8253941584530817
0.8266666666666665,0.8803050617095141
0.8108108108108109,0.8749977303122592
0.7848101265822786,0.8858088590320513
0.7323943661971831,0.764445153002
0.7837837837837838,0.9126809809630562
0.7733333333333334,0.9030177058201594
0.8405797101449276,0.9257404988374842
0.8378378378378377,0.8963007178130923
0.7297297297297298,0.8311802284311745
0.8395061728395061,0.8736283486790465
0.8311688311688312,0.9108766936062586
0.8051948051948051,0.8821897608456601
0.7428571428571428,0.8351450262381548
0.7749999999999999,0.862860809982096
0.725,0.7811735985519919
