F1_record,AP_record
0.8395061728395061,0.8290466046429278
0.8285714285714286,0.9166502596236733
0.8219178082191781,0.9436100645085207
0.9599999999999999,0.9788211216423289
0.9,0.9480949464872005
0.7837837837837838,0.8556698112976268
0.9230769230769231,0.978781885837186
0.8354430379746836,0.9408728614014736
0.8421052631578947,0.9192881021537075
0.9249999999999999,0.985632900485601
0.8421052631578947,0.9448449632294296
0.8533333333333334,0.9251274987520894
0.9135802469135803,0.894692218671704
0.8493150684931505,0.959520979071182
0.8918918918918918,0.9475116634772082
0.8354430379746836,0.9313284371392849
0.8860759493670887,0.9509217964582516
0.868421052631579,0.9148890413104965
0.9743589743589743,0.9836973840010279
0.8767123287671232,0.9438025008148891
0.918918918918919,0.9673963656808032
0.88,0.9301208370158958
0.918918918918919,0.9683635001247322
0.9066666666666667,0.9562893615608696
0.8860759493670887,0.9459591357891749
0.8108108108108109,0.8537050065780017
0.8947368421052632,0.9599678929488511
0.8831168831168831,0.9495482892947411
0.8311688311688312,0.938736468726401
0.8219178082191781,0.9136511015878962
